serial_number;product_name;product_number;inizio_garanzia;fine_garanzia;etichetta;note;smaltito;aula;marca;tipo;macaddress(separare con virgole);note (separare con virgole)
CNC302PRW2;HP CPQ LA2006x 20-In LED LCD ALL;XN374AA;2013-03-01;2016-03-30;monitor1;;0;aula6;HP;Monitor
LMBHZP5;;9144Y1T;0000-00-00;0000-00-00;client8862;;0;aula6;Lenovo;Desktop
CNC302PTLN;HP CPQ LA2006x 20-In LED LCD ALL;XN374AA;2013-03-01;2016-03-30;monitor22;;0;aula6;HP;Monitor
CZC3186LT8;HP Compaq Elite 8300 SFF PC ALL;QV996AV;2013-05-09;2016-06-07;client8860;;0;aula6;HP;Desktop
;;;0000-00-00;0000-00-00;;;0;aula6;HP;Monitor
CZC32016S7;HP Compaq Elite 8300 SFF PC ALL;QV996AV;2013-05-16;2016-06-14;Client8850;;0;aula6;HP;Desktop
CZC3186LTL;HP Compaq Elite 8300 SFF PC ALL;QV996AV;2013-05-09;2016-06-07;client8866;;0;aula7;HP;Desktop
V6B7251;ASSEMBLY L1951p Wide Monitor;2448HC6;2010-08-23;2013-08-22;Mon14;;0;aula7;Lenovo;Monitor
CZC3216NTR;HP Compaq Elite 8300 CMT PC ALL;QV993AV;2013-05-25;2013-06-23;;;0;aula7;HP;Tower
CNC302PRSW;HP CPQ LA2006x 20-In LED LCD ALL;XN374AA;2013-03-01;2016-03-30;monitor29;;0;aula7;HP;Monitor
CZC3186LV6;HP Compaq Elite 8300 SFF PC ALL;QV996AV;2013-05-09;2016-06-07;client8855;;0;aula7;HP;Desktop
V698361;ThinkVision L1940p 19-inch Wide Monitor;4424HB6;2009-06-05;2012-06-04;Mon25;;0;aula7;Lenovo;Monitor
V1N6326414;;;0000-00-00;0000-00-00;Aula7ng;;0;aula7;Kyocera;Stampante
CNC302PRKZ;HP CPQ LA2006x 20-In LED LCD ALL;XN374AA;2013-03-01;2016-03-30;monitor28;;0;aula7;HP;Monitor
CZC3186LZS;HP Compaq Elite 8300 SFF PC ALL;QV996AV;2013-05-09;2016-06-07;client8861;;0;aula7;HP;Desktop
CZC32016S2;HP Compaq Elite 8300 SFF PC ALL;QV996AV;2013-05-16;2016-06-14;client8859;;0;aula7;HP;Desktop
77882062-ES-A;;0FTD0401A5;0000-00-00;0000-00-00;SPSE monitor4;rimosso;1;aula7;EIZO;Monitor
CZC32016S2;HP Compaq Elite 8300 SFF PC ALL;QV996AV;2013-05-16;2016-06-14;client8859;;0;aula7;HP;Desktop
V698360;ThinkVision L1940p 19-inch Wide Monitor;4424HB6;2009-06-05;2012-06-04;MONITOR30;;0;aula7;Lenovo;Monitor
F4JE00719;;CP-AX3003;0000-00-00;0000-00-00;;beamer della LIM;0;aula7;Hitachi;Beamer
CZC32016TB;HP Compaq Elite 8300 SFF PC ALL;QV996AV;2013-05-16;2016-06-14;client8856;;0;aula7;HP;Desktop
V698466;ASSEMBLY L1951p Wide Monitor;4424HB6;2009-06-05;2012-06-04;monitor30;;0;aula7;Lenovo;Monitor
CZC3216NTR;HP Compaq Elite 8300 CMT PC ALL;QV993AV;2013-05-25;2013-06-23;;;0;aula7;HP;Tower
V698360;ThinkVision L1940p 19-inch Wide Monitor;4424HB6;2009-06-05;2012-06-04;MONITOR30;;0;aula7;Lenovo;Monitor
LWS3Z01571;;;0000-00-00;0000-00-00;auladircol23;;0;Direzione;HP;Stampante
3CQ25019KX;HP ZR2330w 23-in LED S-IPS Monitor;C6Y18AT;2013-02-13;2016-03-13;MonDir1;;0;Direzione;HP;Monitor
CZC3186LYY;HP Compaq Elite 8300 SFF PC ALL;QV996AV;2013-05-09;2016-06-07;Client 89112;;0;Direzione;HP;Desktop
3CQ25019L1;HP LaserJet P2055d Printer;C6Y18AT;2013-02-13;2016-03-13;MonDir2;;0;Direzione;HP;Monitor
CZC32016SF;HP Compaq Elite 8300 SFF PC ALL;QV996AV;2013-05-16;2016-06-14;Client89121;;0;Direzione;HP;Desktop
V1Q5326820;;;0000-00-00;0000-00-00;auladirbn22;;0;Direzione;Kyocera;Stampante
3CQ25019L5;HP ZR2330w 23-in LED S-IPS Monitor;C6Y18AT;2013-02-13;2016-03-13;MonDir3;;0;Direzione;HP;Monitor
CZC32016TD;HP Compaq Elite 8300 SFF PC ALL;QV996AV;0000-00-00;0000-00-00;Client89200;;0;Direzione;HP;Desktop
S4RM824;M90 Desktop (ThinkCentre);5485W9N;2010-08-25;2013-08-24;;;0;Magazzino;Lenovo;Desktop
A3G6N05645;;DS210J;0000-00-00;0000-00-00;;scollegato;0;Magazzino;Synology;NAS
CNCJB86114;HP LaserJet P2055d Printer;CE457A;2010-08-24;2011-11-21;aula7bn28;Difettosa;0;Magazzino;HP;Stampante
